Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5zzcStevEtH2sUZuBzqLGO,"SKED (with Kenny Mason & Project Pat)","King Of The Mischievous South Vol. 2","Denzel Curry;Kenny Mason;Project Pat",2024-07-19,222973,53,true,226w3phs7mjprjolyqjkylp3q,2025-06-16T20:28:35Z,"southern hip hop,crunk,gangster rap","Loma Vista Recordings",0.847,0.579,7,-6.009,1,0.12,0.000678,0.000325,0.352,0.661,154.985,4
spotify:track:4xCzUoKfZOlQ99Lg48kgQN,"Mass Destruction -Reload-","Persona 3 Reload Original Soundtrack","Lotus Juice;Azumi Takahashi;ATLUS Sound Team;ATLUS GAME MUSIC",2024-04-24,185493,56,false,226w3phs7mjprjolyqjkylp3q,2025-06-16T22:27:39Z,"japanese vgm,soundtrack","ATLUS GAME MUSIC",0.694,0.966,1,-6.458,1,0.0728,0.0142,0.0192,0.348,0.668,118.981,4
spotify:track:4ZJKi7HXFDG2emN6xIdbmV,"Heartbeat, Heartbreak","ペルソナ4 オリジナル・サウンドトラック","Shihoko Hirata",2008-07-23,135226,64,false,226w3phs7mjprjolyqjkylp3q,2025-06-16T22:27:49Z,"japanese vgm","アニプレックス",0.826,0.716,5,-9.121,0,0.0649,0.0865,0.00000462,0.11,0.692,100.012,4
spotify:track:1fwF0BA6R1ZLaXWmClIAw3,"Reach Out To The Truth","ペルソナ4 オリジナル・サウンドトラック","Shihoko Hirata",2008-07-23,167880,49,false,226w3phs7mjprjolyqjkylp3q,2025-06-16T22:27:56Z,"japanese vgm","アニプレックス",0.642,0.921,7,-4.742,1,0.0384,0.00175,0,0.0384,0.919,169.97,4
spotify:track:4AuZBIN4aeFL9egQldQfRn,"Wake Up, Get Up, Get Out There","PERSONA5 ORIGINAL SOUNDTRACK","Lyn",2017-01-17,277826,58,false,226w3phs7mjprjolyqjkylp3q,2025-06-16T22:28:04Z,"japanese vgm","ATLUS",0.795,0.905,5,-6.085,0,0.0552,0.0291,0.0214,0.0799,0.84,126.997,4
spotify:track:0LNyWv4RYKbaXIvzk6nMxZ,"Life Will Change","PERSONA5 ORIGINAL SOUNDTRACK","Lyn",2017-01-17,262026,58,false,226w3phs7mjprjolyqjkylp3q,2025-06-16T22:28:11Z,"japanese vgm","ATLUS",0.702,0.92,0,-5.121,0,0.0363,0.00173,0.0133,0.127,0.625,131.986,4
spotify:track:4cPnNnTMkJ6soUOUzEtmcp,"Last Surprise","PERSONA5 ORIGINAL SOUNDTRACK","Lyn",2017-01-17,235546,64,false,226w3phs7mjprjolyqjkylp3q,2025-06-16T22:28:20Z,"japanese vgm","ATLUS",0.745,0.803,7,-6.151,0,0.0479,0.309,0.00266,0.345,0.493,123.043,4
spotify:track:73DCreJgfFdFxVnjsMSeo4,"The Whims of Fate","PERSONA5 ORIGINAL SOUNDTRACK","Lyn",2017-01-17,193626,54,false,226w3phs7mjprjolyqjkylp3q,2025-06-16T22:28:34Z,"japanese vgm","ATLUS",0.763,0.776,5,-6.903,1,0.0371,0.244,0.0506,0.161,0.878,122.029,4
spotify:track:7dzHZQQ69XpP6M3ifGeIJs,"Monoco","Clair Obscur: Expedition 33 (Original Soundtrack)","Lorien Testard",2025-04-24,141000,55,false,226w3phs7mjprjolyqjkylp3q,2025-07-02T16:35:13Z,"soundtrack","Laced Records",0.546,0.674,7,-9.019,1,0.0574,0.727,0.828,0.0811,0.484,129.857,4
spotify:track:4QEXM9na0mWIIt5Hwbsges,"Une vie à t'aimer","Clair Obscur: Expedition 33 (Original Soundtrack)","Lorien Testard;Alice Duport-Percier;Victor Borba",2025-04-24,660000,65,false,226w3phs7mjprjolyqjkylp3q,2025-07-02T16:35:21Z,"soundtrack","Laced Records",0.16,0.862,4,-4.397,0,0.288,0.0634,0.00000365,0.366,0.0652,179.986,4
spotify:track:1A1XuDIYZxSKrQ6mzkWwAT,"Lumière","Clair Obscur: Expedition 33 (Original Soundtrack)","Lorien Testard;Alice Duport-Percier",2025-04-24,222000,68,false,226w3phs7mjprjolyqjkylp3q,2025-07-02T16:35:31Z,"soundtrack","Laced Records",0.426,0.185,11,-11.717,0,0.0339,0.95,0.00000502,0.213,0.459,83.424,4
spotify:track:4gpvY7b9wHA9G1ZsMDu15b,"Aishite Aishite Aishite","Ado's Utattemita Album","Ado",2023-12-13,258372,70,false,226w3phs7mjprjolyqjkylp3q,2025-07-02T16:35:44Z,"j-pop,anime,vocaloid,j-rock","Universal Music LLC",0.573,0.877,8,-3.74,1,0.0785,0.234,0,0.0709,0.251,115.005,4
spotify:track:0ftoT1YpcxirRkamObuop0,"Blood Sweat & Tears (from the series Arcane League of Legends)","Blood Sweat & Tears (from the series Arcane League of Legends)","Sheryl Lee Ralph;Arcane;League of Legends",2024-10-27,222866,43,false,226w3phs7mjprjolyqjkylp3q,2025-07-02T16:36:47Z,"","Riot Games",0.46,0.819,2,-6.869,1,0.112,0.111,0.0000023,0.0988,0.22,148.201,4
spotify:track:1clsf1YjKNHVUonDva4fnk,"To Ashes and Blood (from the series Arcane League of Legends)","To Ashes and Blood (from the series Arcane League of Legends)","Woodkid;Arcane;League of Legends",2024-11-09,245626,63,false,226w3phs7mjprjolyqjkylp3q,2025-07-02T16:36:52Z,"","Riot Games",0.475,0.701,6,-7.05,1,0.0463,0.00828,0.0376,0.127,0.29,84.899,4
spotify:track:16JrfiRjHTFahRTV6fPKqQ,"black samuarai.","the color grey.","jev.",2022-12-20,174782,54,false,226w3phs7mjprjolyqjkylp3q,2025-07-02T16:58:36Z,"jazz rap","LONER inc.",0.607,0.848,4,-8.433,0,0.446,0.0715,0,0.396,0.813,92.443,4
spotify:track:6eGWfTWDI764YbUeI9dswF,"Behold","GDLU (Preluxe)","JID",2025-07-04,155542,50,true,226w3phs7mjprjolyqjkylp3q,2025-07-04T20:54:22Z,"","Dreamville/Interscope Records",0.571,0.569,1,-5.811,1,0.117,0.125,0,0.164,0.0838,146.001,4
spotify:track:0oOXhEAEtXbUc6xjHbIP9j,"Knew Better (with Lil Yachty)","GDLU (Preluxe)","JID;Lil Yachty",2025-07-04,267565,47,true,226w3phs7mjprjolyqjkylp3q,2025-07-04T20:54:22Z,"","Dreamville/Interscope Records",0.493,0.495,1,-6.934,1,0.13,0.0013,0.000241,0.319,0.255,169.398,3
spotify:track:6WkbThstnPI8fmVvTkF7y5,"Lisa (with 6LACK)","GDLU (Preluxe)","JID;6LACK",2025-07-04,246608,45,true,226w3phs7mjprjolyqjkylp3q,2025-07-04T20:54:22Z,"","Dreamville/Interscope Records",0.608,0.736,1,-6.816,1,0.364,0.112,0,0.106,0.498,150.065,4
