Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:210JJAa9nJOgNa0YNrsT5g,"GODS","GODS","League of Legends;NewJeans",2023-10-04,220878,56,false,,1970-01-01T00:00:00Z,"k-pop","Riot Games",0.588,0.765,3,-5.914,0,0.0518,0.00685,0.0000323,0.2,0.492,145.988,4
spotify:track:2KslE17cAJNHTsI2MI0jb2,"Standing Next to You","GOLDEN","Jung Kook",2023-11-03,206019,82,false,,1970-01-01T00:00:00Z,"k-pop","BIGHIT MUSIC",0.711,0.809,2,-4.389,0,0.0955,0.0447,0,0.339,0.816,106.017,4
spotify:track:5HrNebS0Z8YJq2xz4zZ9zl,"War Machine","War Machine","Dance Gavin Dance",2023-10-24,239904,40,true,,1970-01-01T00:00:00Z,"post-hardcore,screamo,metalcore,emo,math rock","Rise Records",0.473,0.963,9,-4.832,0,0.085,0.00645,0,0.0706,0.471,151.934,4
spotify:track:0VaeksJaXy5R1nvcTMh3Xk,"Darling, I (feat. Teezo Touchdown)","CHROMAKOPIA","Tyler, The Creator;Teezo Touchdown",2024-10-28,253834,74,true,,1970-01-01T00:00:00Z,"","Columbia",0.373,0.818,3,-3.19,0,0.102,0.36,0,0.434,0.361,97.571,4
spotify:track:5AJ9hqTS2wcFQCELCFRO7A,"MILLION DOLLAR BABY","MILLION DOLLAR BABY","Tommy Richman",2024-04-26,155151,82,false,,1970-01-01T00:00:00Z,"","PULSE Records",0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,4
spotify:track:21O0XXPEWPtePt5RMY93Ob,"All Caps","Madvillainy","Madvillain;Madlib;MF DOOM",2004-03-24,130479,69,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,jazz rap,east coast hip hop","Stones Throw Records",0.358,0.889,1,-8.045,1,0.335,0.266,0.0000146,0.172,0.666,85.61,4
spotify:track:5fqaeJMmqwhDzdYD7b4J51,"The Bottom 2","The Bottom 2","Glorb",2023-12-03,164903,60,true,,1970-01-01T00:00:00Z,"","Undawata",0.679,0.885,1,-3.575,1,0.0747,0.00228,0,0.44,0.404,155.105,4
spotify:track:1QoyuMHNBe7lg3YW4Qtll4,"St. Chroma (feat. Daniel Caesar)","CHROMAKOPIA","Tyler, The Creator;Daniel Caesar",2024-10-28,197019,76,true,,1970-01-01T00:00:00Z,"","Columbia",0.576,0.884,0,-5.058,1,0.555,0.357,0,0.368,0.373,150.45,4
spotify:track:5gW5dSy3vXJxgzma4rQuzH,"Make Me Feel","Dirty Computer","Janelle Monáe",2018-04-27,194230,58,true,,1970-01-01T00:00:00Z,"alternative r&b","Bad Boy Records",0.859,0.413,1,-7.399,1,0.182,0.132,0,0.334,0.697,115.035,4
spotify:track:4BnrGx9tWNF8aiXl1UhDBa,"One Beer","MM..FOOD","MF DOOM",2004-11-16,258586,71,true,,1970-01-01T00:00:00Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Rhymesayers",0.376,0.718,7,-6.7,1,0.246,0.0996,0.00332,0.633,0.615,91.115,4
spotify:track:3IelG5zYpWWCZIH4cqWlPV,"SHOOTING STAR","SHOOTING STAR","XG",2023-01-25,203556,69,false,,1970-01-01T00:00:00Z,"k-pop","XGALX",0.625,0.712,2,-5.996,1,0.0539,0.0229,0,0.252,0.398,163.015,4
spotify:track:3Umj02ZNl4d356pS1D38mn,"Hey Jane","CHROMAKOPIA","Tyler, The Creator",2024-10-28,240742,64,true,,1970-01-01T00:00:00Z,"","Columbia",0.495,0.784,10,-7.027,0,0.42,0.555,0,0.621,0.669,94.563,4
spotify:track:43iIQbw5hx986dUEZbr3eN,"From The Start","Bewitched","Laufey",2023-09-08,169573,86,false,,1970-01-01T00:00:00Z,"","Laufey",0.554,0.339,1,-10.088,1,0.0779,0.886,0.00128,0.11,0.83,80.994,4
spotify:track:3oitd93DXSu9wfEEmoRVux,"Fool","Fool","Caravan Palace",2024-02-09,211058,16,false,,1970-01-01T00:00:00Z,"electro swing,swing music,nu jazz","Le Plan Recordings",0.503,0.544,5,-7.314,1,0.0287,0.72,0.369,0.0722,0.157,98.963,3
spotify:track:7sDkXyDikXhpRz715MdiEp,"PUPPET SHOW","NEW DNA","XG",2023-09-27,199960,62,false,,1970-01-01T00:00:00Z,"k-pop","XGALX",0.781,0.611,0,-6.211,1,0.136,0.081,0.0000034,0.208,0.722,149.996,4
spotify:track:6ie0uyyvOKTTuIFBMPiNIl,"Judge Judy","CHROMAKOPIA","Tyler, The Creator",2024-10-28,269622,67,true,,1970-01-01T00:00:00Z,"","Columbia",0.622,0.661,1,-5.906,1,0.0826,0.297,0.000135,0.165,0.362,76.331,4
spotify:track:6s24LFkjo06wYVpxJppovm,"BUZZCUT (feat. Danny Brown)","ROADRUNNER: NEW LIGHT, NEW MACHINE","BROCKHAMPTON;Danny Brown",2021-04-09,201160,39,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop","Question Everything/RCA Records",0.717,0.758,2,-5.576,0,0.268,0.0791,0.00000708,0.293,0.252,91.983,4
spotify:track:4uOBL4DDWWVx4RhYKlPbPC,"Queencard","I feel","i-dle",2023-05-15,161240,8,false,,1970-01-01T00:00:00Z,"k-pop","Cube Entertainment",0.815,0.834,4,-2.828,0,0.0475,0.0327,0.000268,0.27,0.692,129.989,4
spotify:track:6Lj4RhwPsVfMn7tsA5i8jW,"Atavista","Atavista","Childish Gambino",2024-05-13,181661,48,false,,1970-01-01T00:00:00Z,"","Wolf+Rothstein/RCA Records",0.663,0.702,7,-7.192,1,0.0336,0.147,0.0218,0.214,0.391,89.98,4
spotify:track:3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","CHROMAKOPIA","Tyler, The Creator;GloRilla;Sexyy Red;Lil Wayne",2024-10-28,255915,80,true,,1970-01-01T00:00:00Z,"rap,hip hop","Columbia",0.505,0.812,1,-3.986,1,0.461,0.285,0,0.444,0.664,80.09,4
spotify:track:7289EEGch69OzuZGS4vybB,"Encore","Crash","Les Louanges",2022-01-21,225893,0,false,,1970-01-01T00:00:00Z,"chanson québécoise,indie québécois,pop québécoise","Bonsound",0.572,0.27,4,-12.205,0,0.0763,0.76,0.0517,0.0909,0.301,119.317,4
spotify:track:6tDDoYIxWvMLTdKpjFkc1B,"telepatía","Sin Miedo (del Amor y Otros Demonios) ∞","Kali Uchis",2020-12-04,160191,82,false,,1970-01-01T00:00:00Z,"","EMI / Interscope",0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,4
spotify:track:74X2u8JMVooG2QbjRxXwR8,"Perfect Night","Perfect Night","LE SSERAFIM",2023-10-27,159080,76,false,,1970-01-01T00:00:00Z,"k-pop","SOURCE MUSIC",0.697,0.82,5,-4.502,1,0.0308,0.1,0,0.0631,0.502,136.054,4
spotify:track:3GdwjAsCsoE79ObhsJFyYb,"I Killed You","CHROMAKOPIA","Tyler, The Creator",2024-10-28,168420,64,true,,1970-01-01T00:00:00Z,"","Columbia",0.749,0.896,2,-4.909,1,0.219,0.356,0.00075,0.267,0.447,97.121,4
spotify:track:2GLN3KJjmFhXG8mHGr6II0,"Float (feat. Seun Kuti & Egypt 80)","The Age of Pleasure","Janelle Monáe;Seun Kuti;Egypt 80",2023-06-09,239013,48,true,,1970-01-01T00:00:00Z,"alternative r&b,afrobeat","Bad Boy Records",0.793,0.499,10,-5.272,0,0.119,0.22,0,0.872,0.311,126.046,4
spotify:track:1qtiESAzfGMw3YqJvI97ki,"Lightenup","Parcels","Parcels",2018-10-12,237227,69,false,,1970-01-01T00:00:00Z,"indie soul","Because Music",0.857,0.658,0,-9.8,1,0.0388,0.015,0.266,0.105,0.703,122.969,4
spotify:track:4qAQTQH5lF4kINZ9JkURXp,"SIN MIEDO","SIN MIEDO","JPEGMAFIA",2024-07-15,167291,37,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,experimental","2024 Peggy Under Exclusive License to AWAL Recordings America, Inc.",0.602,0.764,0,-2.885,1,0.192,0.0213,0,0.216,0.768,145.141,4
spotify:track:4BSR9I4ExlCJdXJo2GpBD5,"Take Your Mask Off (feat. Daniel Caesar & LaToiya Williams)","CHROMAKOPIA","Tyler, The Creator;Daniel Caesar;LaToiya Williams",2024-10-28,253909,68,true,,1970-01-01T00:00:00Z,"","Columbia",0.503,0.658,6,-5.823,0,0.154,0.46,0,0.382,0.515,121.784,5
spotify:track:0S38Oso3I9vpDXcTb7kYt9,"The Summoning","Take Me Back To Eden","Sleep Token",2023-05-19,395716,75,false,,1970-01-01T00:00:00Z,"progressive metal,metalcore","Spinefarm",0.395,0.701,10,-5.471,0,0.0377,0.00148,0.0049,0.05,0.148,172.965,4
spotify:track:1CJO1NdPdtnkJBrEx6As65,"Cruisin' (feat. Yeat)","Bando Stone and The New World","Childish Gambino;Yeat",2024-07-19,238350,48,true,,1970-01-01T00:00:00Z,"rage rap","Wolf+Rothstein/RCA Records",0.365,0.464,0,-8.412,0,0.385,0.182,0.00000378,0.228,0.672,84.16,3
spotify:track:0avhBw11JbU6miRBqKANwH,"FUNKFEST","i was mature for my age, but i was still a child","PARTYOF2;Jadagrace;SWIM;TJOnline",2023-06-27,219716,39,true,,1970-01-01T00:00:00Z,"","grouptherapy.",0.66,0.618,1,-6.774,1,0.29,0.486,0,0.159,0.716,159.999,4
spotify:track:6guIMfoWJvsCXQxNsAtWPN,"lil' freak","lil' freak","bbno$",2024-03-25,168023,3,true,,1970-01-01T00:00:00Z,"","Bad Realm Records / Artist Partner Group, Inc.",0.837,0.811,7,-4.676,1,0.0865,0.0332,0.00000767,0.146,0.846,110.008,4
spotify:track:2HQALWSN6IF4BYrSADMJ0w,"UNTOUCHABLE","BORN TO BE","ITZY",2024-01-08,194093,60,false,,1970-01-01T00:00:00Z,"k-pop","Republic Records - ITZY",0.762,0.9,0,-3.257,0,0.127,0.221,0,0.0837,0.674,105.01,4
spotify:track:6ajiOUVtxRjYcf1EvBDoV4,"Psilocybae (Millennial Love) (feat. 21 Savage, Ink & Kadhja Bonet)","Atavista","Childish Gambino;21 Savage;Ink;Kadhja Bonet",2024-05-13,392590,51,true,,1970-01-01T00:00:00Z,"","Wolf+Rothstein/RCA Records",0.612,0.727,5,-5.396,1,0.0673,0.214,0.00000116,0.456,0.501,164.023,4
spotify:track:1sjWpZDKURy4UrAvrHf7ej,"b i g f e e l i n g s","empathogen","WILLOW",2024-05-03,264133,42,false,,1970-01-01T00:00:00Z,"","Three Six Zero Recordings",0.662,0.848,0,-4.298,1,0.0459,0.0907,0.00000193,0.315,0.5,109.957,1
